id,company_id,disease,medicine,age,breed,pet_code,gender,pet_name,species,symptoms,treatment_date
1,38,Myxomatosis,Antibiotics,16,Bulldog,PT2002,MALE,Luna,Dog,Diarrhea,2020-06-10
2,43,Rabies,Anti-inflammatory,1,breed 1,CT202005,MALE,tobi,DOG,Sneezing,2021-04-15
3,43,Wet Tail,Pain Relievers,3,breed 1,CT202002,MALE,tomy,DOG,Vomiting,2021-10-19
4,43,Rabies,Deworming Medication,1,Breed5,CT202014,MALE,saman,CAT,Lethargy,2022-12-12
5,43,Wet Tail,Antibiotics,6,Breed2,CT202003,FEMALE,tedi,CAT,Diarrhea,2021-10-24
6,43,Psittacosis,Anti-inflammatory,1,breed 1,CT202005,MALE,tobi,DOG,Diarrhea,2020-05-22
7,38,Rabies,Antibiotics,4,Bulldog,PT2008,MALE,viki,Dog,Diarrhea,2024-06-29
8,1,Myxomatosis,Anti-inflammatory,17,Persian Cross,HS2015,MALE,bady,Dog ,Coughing,2022-02-22
9,38,Wet Tail,Anti-inflammatory,5,American,PT2009,MALE,tomy,Rabbit,Vomiting,2024-05-02
10,1,Parvovirus,Pain Relievers,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Loss of Appetite,2023-12-27
11,43,Wet Tail,Antibiotics,4,Breed1,CT202020,MALE,hiro,Wolf,Vomiting,2021-02-05
12,43,Myxomatosis,Anti-inflammatory,30,Breed3,CT202026,FEMALE,Roki,DOG,Itching,2023-10-04
13,1,Psittacosis,Pain Relievers,1,Bbb,HS2072,MALE,summer,Dog ,Sneezing,2021-11-10
14,38,Parvovirus,Antibiotics,5,American,PT2009,MALE,tomy,Rabbit,Diarrhea,2021-09-13
15,43,Myxomatosis,Anti-inflammatory,2,breed 1,CT202004,FEMALE,tainy,DOG,Lethargy,2022-09-19
16,1,Parvovirus,Antibiotics,1,Bbb,HS2072,MALE,summer,Dog ,Diarrhea,2020-08-28
17,38,Myxomatosis,Pain Relievers,4,Bulldog,PT2008,MALE,viki,Dog,Coughing,2020-03-11
18,1,Psittacosis,Antibiotics,3,Persian Cross,HS2028,MALE,viki,Dog ,Lethargy,2022-04-17
19,43,Parvovirus,Anti-inflammatory,1,Breed5,CT202011,FEMALE,baby,CAT,Diarrhea,2022-12-27
20,1,Parvovirus,Anti-inflammatory,6,Bbb,HS2022,MALE,Chuti kity,Dog ,Sneezing,2020-07-08
21,43,Psittacosis,Deworming Medication,6,Breed2,CT202003,FEMALE,tedi,CAT,Itching,2020-04-27
22,1,Rabies,Deworming Medication,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Sneezing,2023-09-22
23,43,Wet Tail,Anti-inflammatory,30,Breed3,CT202026,FEMALE,Roki,DOG,Diarrhea,2020-01-22
24,43,Feline Leukemia,Deworming Medication,1,Breed2,CT202007,MALE,Chuti kity,CAT,Vomiting,2023-06-02
25,1,Psittacosis,Anti-inflammatory,2,Bbb,HS2076,FEMALE,tina,Dog ,Diarrhea,2024-01-18
26,43,Parvovirus,Anti-inflammatory,1,Breed2,CT202016,MALE,chooti,CAT,Diarrhea,2023-06-07
27,38,Myxomatosis,Deworming Medication,5,American,PT2009,MALE,tomy,Rabbit,Vomiting,2023-02-20
28,43,Parvovirus,Antibiotics,1,Breed2,CT202016,MALE,chooti,CAT,Coughing,2023-06-21
29,1,Psittacosis,Anti-inflammatory,1,Bbb,HS2005,FEMALE,summer,Dog ,Diarrhea,2020-10-18
30,1,Rabies,Vitamins,3,Persian Cross,HS2028,MALE,viki,Dog ,Limping,2021-10-12
31,43,Psittacosis,Pain Relievers,0,Breed5,CT202012,FEMALE,Test 1,CAT,Itching,2023-07-21
32,43,Parvovirus,Deworming Medication,33,Breed3,CT202025,MALE,Seeba,DOG,Coughing,2021-01-22
33,38,Feline Leukemia,Vitamins,1,Beagle,PT2003,FEMALE,Leo,Dog,Diarrhea,2023-06-30
34,1,Wet Tail,Vitamins,1,Bbb,HS2072,MALE,summer,Dog ,Lethargy,2022-02-01
35,43,Psittacosis,Pain Relievers,0,Breed5,CT202012,FEMALE,Test 1,CAT,Itching,2022-09-06
36,43,Wet Tail,Anti-inflammatory,1,Breed2,CT202016,MALE,chooti,CAT,Sneezing,2021-10-24
37,1,Parvovirus,Deworming Medication,0,Bbb,HS2032,MALE,winter,Dog ,Diarrhea,2024-02-02
38,1,Myxomatosis,Pain Relievers,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Vomiting,2022-01-24
39,43,Psittacosis,Vitamins,33,Breed3,CT202025,MALE,Seeba,DOG,Loss of Appetite,2023-12-04
40,43,Feline Leukemia,Vitamins,1,breed 1,CT202005,MALE,tobi,DOG,Diarrhea,2021-01-31
41,38,Wet Tail,Antibiotics,4,Bulldog,PT2008,MALE,viki,Dog,Loss of Appetite,2022-02-09
42,1,Feline Leukemia,Antibiotics,1,Persian Cross,HS2081,MALE,Test 1,Dog ,Limping,2020-01-29
43,43,Rabies,Deworming Medication,0,Breed5,CT202012,FEMALE,Test 1,CAT,Itching,2021-06-22
44,43,Psittacosis,Pain Relievers,1,Breed5,CT202011,FEMALE,baby,CAT,Coughing,2021-07-19
45,38,Psittacosis,Anti-inflammatory,4,Bulldog,PT2008,MALE,viki,Dog,Limping,2021-03-11
46,1,Myxomatosis,Deworming Medication,1,Bbb,HS2005,FEMALE,summer,Dog ,Diarrhea,2022-08-20
47,43,Rabies,Deworming Medication,0,Breed5,CT202012,FEMALE,Test 1,CAT,Lethargy,2021-01-13
48,1,Myxomatosis,Pain Relievers,1,Bbb,HS2005,FEMALE,summer,Dog ,Sneezing,2022-03-30
49,43,Psittacosis,Deworming Medication,2,breed 1,CT202004,FEMALE,tainy,DOG,Limping,2021-01-21
50,43,Rabies,Antibiotics,4,Breed1,CT202020,MALE,hiro,Wolf,Coughing,2023-03-06
51,1,Psittacosis,Antibiotics,7,bbb,HS2077,FEMALE,tiki,Cat,Vomiting,2020-02-28
52,1,Feline Leukemia,Pain Relievers,7,bbb,HS2077,FEMALE,tiki,Cat,Lethargy,2021-02-01
53,43,Feline Leukemia,Anti-inflammatory,1,Breed2,CT202016,MALE,chooti,CAT,Lethargy,2020-11-09
54,1,Wet Tail,Pain Relievers,0,Bbb,HS2032,MALE,winter,Dog ,Vomiting,2021-08-11
55,38,Parvovirus,Deworming Medication,4,Bulldog,PT2008,MALE,viki,Dog,Itching,2023-11-18
56,1,Rabies,Deworming Medication,21,Persian Cross,HS2108,MALE,Cooper,Dog ,Sneezing,2022-03-19
57,1,Psittacosis,Pain Relievers,1,Bbb,HS2005,FEMALE,summer,Dog ,Diarrhea,2021-10-02
58,43,Psittacosis,Deworming Medication,2,breed 1,CT202004,FEMALE,tainy,DOG,Vomiting,2021-04-10
59,43,Myxomatosis,Vitamins,2,breed 1,CT202004,FEMALE,tainy,DOG,Limping,2022-09-23
60,1,Feline Leukemia,Vitamins,1,Bbb,HS2072,MALE,summer,Dog ,Coughing,2020-04-04
61,1,Feline Leukemia,Vitamins,2,Bbb,HS2076,FEMALE,tina,Dog ,Itching,2021-02-02
62,1,Myxomatosis,Antibiotics,2,Bbb,HS2076,FEMALE,tina,Dog ,Limping,2022-04-22
63,43,Feline Leukemia,Deworming Medication,33,Breed3,CT202025,MALE,Seeba,DOG,Lethargy,2023-05-15
64,38,Feline Leukemia,Pain Relievers,1,Beagle,PT2003,FEMALE,Leo,Dog,Vomiting,2020-03-18
65,43,Distemper,Vitamins,4,Breed1,CT202020,MALE,hiro,Wolf,Itching,2024-01-07
66,43,Psittacosis,Vitamins,2,Breed3,CT202015,MALE,roki,DOG,Lethargy,2023-04-18
67,43,Distemper,Antibiotics,1,Breed2,CT202016,MALE,chooti,CAT,Sneezing,2021-04-02
68,43,Parvovirus,Anti-inflammatory,1,Breed5,CT202014,MALE,saman,CAT,Lethargy,2022-07-29
69,43,Myxomatosis,Deworming Medication,1,Breed2,CT202016,MALE,chooti,CAT,Limping,2022-10-22
70,43,Feline Leukemia,Anti-inflammatory,1,Breed2,CT202007,MALE,Chuti kity,CAT,Coughing,2020-04-19
71,1,Feline Leukemia,Antibiotics,2,Persian Cross,HS2017,MALE,Dogy,Dog ,Coughing,2020-11-24
72,43,Distemper,Vitamins,1,Breed1,CT202010,MALE,Wolf baby,Wolf,Limping,2020-01-03
73,1,Myxomatosis,Pain Relievers,1,Persian Cross,HS2081,MALE,Test 1,Dog ,Loss of Appetite,2020-09-02
74,43,Myxomatosis,Vitamins,3,breed 1,CT202002,MALE,tomy,DOG,Vomiting,2023-05-31
75,1,Myxomatosis,Pain Relievers,0,Bbb,HS2032,MALE,winter,Dog ,Itching,2023-04-20
76,38,Wet Tail,Antibiotics,4,Bulldog,PT2008,MALE,viki,Dog,Itching,2022-08-30
