PetID,Pet Name,Species,Breed,Age,Gender,Symptoms,Disease,Treatment Date,Medicines
1,Brittany,Hamster,Roborovski,12,Female,Loss of Appetite,Feline Leukemia,2024-06-16,Antibiotics
1,Brittany,Hamster,Roborovski,12,Female,Coughing,Rabies,2023-03-10,Vitamins
1,Brittany,Hamster,Roborovski,12,Female,Sneezing,Feline Leukemia,2023-07-13,Anti-inflammatory
2,Travis,Cat,Bengal,11,Female,Loss of Appetite,Wet Tail,2022-02-09,Antibiotics
2,Travis,Cat,Bengal,11,Female,Sneezing,Distemper,2020-10-30,Vitamins
2,Travis,Cat,Bengal,11,Female,Vomiting,Wet Tail,2022-10-02,Antibiotics
2,Travis,Cat,Bengal,11,Female,Sneezing,Distemper,2023-12-09,Vitamins
2,Travis,Cat,Bengal,11,Female,Itching,Rabies,2023-04-12,Pain Relievers
2,Travis,Cat,Bengal,11,Female,Itching,Distemper,2021-09-18,Anti-inflammatory
3,Judy,Hamster,Chinese,4,Female,Coughing,Psittacosis,2024-07-07,Vitamins
3,Judy,Hamster,Chinese,4,Female,Loss of Appetite,Psittacosis,2023-12-15,Vitamins
3,Judy,Hamster,Chinese,4,Female,Lethargy,Psittacosis,2020-06-20,Antibiotics
3,Judy,Hamster,Chinese,4,Female,Diarrhea,Parvovirus,2022-12-30,Anti-inflammatory
3,Judy,Hamster,Chinese,4,Female,Sneezing,Psittacosis,2021-08-12,Pain Relievers
3,Judy,Hamster,Chinese,4,Female,Coughing,Myxomatosis,2021-11-07,Anti-inflammatory
3,Judy,Hamster,Chinese,4,Female,Diarrhea,Myxomatosis,2024-06-21,Anti-inflammatory
4,Shane,Cat,Maine Coon,8,Female,Vomiting,Feline Leukemia,2024-02-22,Vitamins
4,Shane,Cat,Maine Coon,8,Female,Lethargy,Wet Tail,2021-10-19,Pain Relievers
4,Shane,Cat,Maine Coon,8,Female,Coughing,Feline Leukemia,2021-09-15,Vitamins
5,Ashley,Rabbit,Flemish Giant,14,Female,Vomiting,Feline Leukemia,2020-02-23,Anti-inflammatory
5,Ashley,Rabbit,Flemish Giant,14,Female,Vomiting,Parvovirus,2021-01-17,Vitamins
5,Ashley,Rabbit,Flemish Giant,14,Female,Lethargy,Wet Tail,2020-12-11,Vitamins
5,Ashley,Rabbit,Flemish Giant,14,Female,Coughing,Feline Leukemia,2022-03-15,Pain Relievers
5,Ashley,Rabbit,Flemish Giant,14,Female,Vomiting,Distemper,2020-04-01,Pain Relievers
6,Samantha,Dog,Golden Retriever,5,Female,Sneezing,Parvovirus,2023-09-07,Anti-inflammatory
6,Samantha,Dog,Golden Retriever,5,Female,Coughing,Wet Tail,2024-06-09,Pain Relievers
